127.0.0.1 - - [28/Feb/2014:00:07:50 +0400] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [28/Feb/2014:00:07:53 +0400] "GET / HTTP/1.1" 200 148
127.0.0.1 - - [28/Feb/2014:00:07:54 +0400] "GET /favicon.ico HTTP/1.1" 200 318
127.0.0.1 - - [28/Feb/2014:00:07:54 +0400] "GET /denwer/ HTTP/1.1" 200 16364
127.0.0.1 - - [28/Feb/2014:00:07:54 +0400] "GET /denwer/Tools/dnsearch/search.pl?action=js HTTP/1.1" 200 1521
127.0.0.1 - - [28/Feb/2014:00:09:29 +0400] "GET /mysite1.ru HTTP/1.1" 404 1987
127.0.0.1 - - [28/Feb/2014:00:13:44 +0400] "GET / HTTP/1.1" 200 148
127.0.0.1 - - [28/Feb/2014:00:13:44 +0400] "GET /favicon.ico HTTP/1.1" 200 318
127.0.0.1 - - [28/Feb/2014:00:13:44 +0400] "GET /denwer/ HTTP/1.1" 200 16324
127.0.0.1 - - [28/Feb/2014:00:13:44 +0400] "GET /denwer/Tools/dnsearch/search.pl?action=js HTTP/1.1" 200 1521
127.0.0.1 - - [28/Feb/2014:00:13:58 +0400] "GET /my_site1 HTTP/1.1" 404 1979
127.0.0.1 - - [28/Feb/2014:00:14:05 +0400] "GET /my_site1/index HTTP/1.1" 404 1991
127.0.0.1 - - [28/Feb/2014:00:14:13 +0400] "GET /my_site1/index HTTP/1.1" 404 1991
127.0.0.1 - - [28/Feb/2014:00:16:17 +0400] "GET /my_site1.ru HTTP/1.1" 404 1985
127.0.0.1 - - [28/Feb/2014:00:16:24 +0400] "GET /my_site1.ru/index HTTP/1.1" 404 1997
127.0.0.1 - - [28/Feb/2014:00:17:19 +0400] "GET /my_site.ru/index HTTP/1.1" 404 1995
127.0.0.1 - - [28/Feb/2014:00:17:23 +0400] "GET /my_site.ru HTTP/1.1" 404 1983
127.0.0.1 - - [28/Feb/2014:00:18:33 +0400] "GET //home/cgi-glob/script.cgi HTTP/1.1" 404 2011
127.0.0.1 - - [28/Feb/2014:00:18:38 +0400] "GET /home/cgi-glob/script.cgi HTTP/1.1" 404 2011
127.0.0.1 - - [28/Feb/2014:00:20:17 +0400] "GET / HTTP/1.1" 200 742
127.0.0.1 - - [28/Feb/2014:00:20:17 +0400] "GET /favicon.ico HTTP/1.1" 404 1987
127.0.0.1 - - [28/Feb/2014:00:26:36 +0400] "GET / HTTP/1.1" 200 771
127.0.0.1 - - [28/Feb/2014:00:26:36 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Feb/2014:00:26:36 +0400] "GET /favicon.ico HTTP/1.1" 404 1997
127.0.0.1 - - [28/Feb/2014:00:26:58 +0400] "GET /index HTTP/1.1" 404 1985
127.0.0.1 - - [28/Feb/2014:00:27:03 +0400] "GET /index.php HTTP/1.1" 200 771
127.0.0.1 - - [28/Feb/2014:00:27:03 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Feb/2014:00:27:20 +0400] "GET /lab4 HTTP/1.1" 404 1983
127.0.0.1 - - [28/Feb/2014:00:27:25 +0400] "GET / HTTP/1.1" 200 771
127.0.0.1 - - [28/Feb/2014:00:27:25 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Feb/2014:00:28:48 +0400] "GET / HTTP/1.1" 200 771
127.0.0.1 - - [28/Feb/2014:00:28:48 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Feb/2014:00:29:24 +0400] "GET /lab4.html HTTP/1.1" 200 2121
127.0.0.1 - - [28/Feb/2014:00:30:00 +0400] "POST /index.php HTTP/1.1" 200 662
127.0.0.1 - - [28/Mar/2014:01:29:12 +0400] "GET / HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:29:12 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:29:12 +0400] "GET /favicon.ico HTTP/1.1" 404 1997
127.0.0.1 - - [28/Mar/2014:01:29:33 +0400] "GET /index.php HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:29:33 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:29:38 +0400] "GET /index.php HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:29:38 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:29:50 +0400] "GET /lab4.html HTTP/1.1" 200 2121
127.0.0.1 - - [28/Mar/2014:01:30:11 +0400] "GET /index.php HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:30:11 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:58:13 +0400] "GET / HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:58:13 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:58:13 +0400] "GET /favicon.ico HTTP/1.1" 404 1997
127.0.0.1 - - [28/Mar/2014:01:58:42 +0400] "GET /index.php HTTP/1.1" 200 771
127.0.0.1 - - [28/Mar/2014:01:58:42 +0400] "GET /denwer/errors/phperror_js.php HTTP/1.1" 200 3122
127.0.0.1 - - [28/Mar/2014:01:59:29 +0400] "GET / HTTP/1.1" 200 742
127.0.0.1 - - [28/Mar/2014:01:59:29 +0400] "GET /favicon.ico HTTP/1.1" 404 1987
127.0.0.1 - - [28/Mar/2014:01:59:39 +0400] "GET /index.php HTTP/1.1" 200 742
127.0.0.1 - - [28/Mar/2014:02:09:49 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:09:49 +0400] "GET /css/style.css HTTP/1.1" 200 3905
127.0.0.1 - - [28/Mar/2014:02:09:49 +0400] "GET /images/office-small.jpg HTTP/1.1" 200 34804
127.0.0.1 - - [28/Mar/2014:02:09:49 +0400] "GET /js/jquery-1.6.2.js HTTP/1.1" 200 236205
127.0.0.1 - - [28/Mar/2014:02:09:50 +0400] "GET /images/00bd.png HTTP/1.1" 200 13009
127.0.0.1 - - [28/Mar/2014:02:09:50 +0400] "GET /images/cap.jpg HTTP/1.1" 200 34598
127.0.0.1 - - [28/Mar/2014:02:09:50 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:40 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:10:40 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:42 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:10:42 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:43 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:10:43 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:44 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:10:44 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:44 +0400] "GET / HTTP/1.1" 200 9414
127.0.0.1 - - [28/Mar/2014:02:10:44 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
127.0.0.1 - - [28/Mar/2014:02:10:46 +0400] "GET /services HTTP/1.1" 200 8228
127.0.0.1 - - [28/Mar/2014:02:10:46 +0400] "GET /favicon.ico HTTP/1.1" 200 1145
